id,apiname,url,title,summary,published,imageurl,source,score,adverb_count,adjective_count,noun_count,pronoun_count,verb_count
9,Newsdata,https://www.bhaskar.com/local/bihar/begusarai/news/police-solved-the-murder-case-in-begusarai-133420261.html,"अनिकेत हत्याकांड का बेगूसराय पुलिस ने किया खुलासा:गुरुवार को हुई थी हत्या, तीन गिरफ्तार, एक नाबालिग भी धराया","बछवाड़ा थाना क्षेत्र के विशनपुर दियारा में गुरुवार की शाम हुए अनिकेत कुमार उर्फ कारू की हत्या मामले का पुलिस ने उद्वेदन कर दिया है। इस मामले में तीन आरोपियों को गिरफ्तार किया गया है। जबकि एक नाबालिग को इस मामले में निरुद्ध किया गया है। आज बछवाड़ा थाना परिसर में आयोजित प्रेसवार्ता में यह जानकारी तेघड़ा डीएसपी डॉ. रविन्द्र मोहन प्रसाद ने दी। उन्होंने बताया कि विशनपुर दियारा निवासी अवधेश राय के पुत्र अनिकेत कुमार (12) की कल मारपीट करने के बाद हत्या कर दी गई थी। मारपीट कर हत्या करने के बाद अनिकेत उर्फ कारु की लाश रविन्द्र राय के घास के खेत में फेंक दिया गया था। सूचना मिलते ही तुरंत पुलिस की टीम पहुंची और लोगों को समझा-बुझाकर लाश को पोस्टमार्टम के लिए सदर अस्पताल भेजा गया। हत्या में अपनी संलिप्त स्वीकार कर ली इसके बाद पुलिस की टीम लगातार सूचना संकलन और अनुसंधान कर रही थी। इसके बाद विशनपुर निवासी भविच्छन राम के पुत्र जहुरी राम, जहुरी राम के पुत्र रवि राम एवं विनोद राम को गिरफ्तार किया गया। इसके साथ ही एक नाबालिग को निरुद्ध किया गया है। पूछताछ में इन लोगों ने हत्या में अपनी संलिप्त स्वीकार कर ली है। जहुरी राम एवं अवधेश राय का डेरा एक ही जगह है। दोनों के बीच जमीन को लेकर बराबर विवाद होते रहता था। इसी विवाद में कल जब अनिकेत उर्फ कारू स्कूल से आने के बाद डेरा पर गया तो इन लोगों ने मारपीट करने के बाद फांसी लगाकर हत्या कर दिया और लाश को एक खेत में फेंक दिया गया था। इसके बाद लोगों के आक्रोश की सूचना मिलते ही बछवाड़ा, तेघड़ा एवं आसपास के सभी थाना की पुलिस टीम घटनास्थल पर पहुंची। क्या बोली पुलिस डीएसपी ने बताया कि घटनास्थल पर उत्पन्न विधि व्यवस्था को दुरुस्त किया गया। घर में बंधक बने लोगों को निकाल कर थाना लाया था। इसके सूचना संकलन के आधार पर तीन को गिरफ्तार एवं एक को निरुद्ध किया गया है। घटना के अन्य पहलुओं पर अभी जांच-पड़ताल और अनुसंधान जारी है। प्रेस वार्ता में बछवाड़ा थानाध्यक्ष विवेक भारती सहित अन्य पुलिस पदाधिकारी उपस्थित थे।",2024-08-02 16:27:04,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/1000551470_1722607941.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
10,Newsdata,https://www.bhaskar.com/local/bihar/jamui/news/10-year-old-child-driving-tractor-recklesslyvideo-133420254.html,"10 साल का बच्चा धड़ल्ले से चला रहा ट्रैक्टर...वीडियो:जमुई में परिवहन अधिकारी ने जांच के बाद कार्रवाई का दिया आदेश, डेढ़ साल से वाहन चला रहा किशोर","जमुई जिले के खैरा थाना क्षेत्र के सोनेल गांव में एक दस साल का नाबालिग का धड़ल्ले से ट्रैक्टर चलाने का वीडियो सामने आया है। वीडियो सामने आने के बाद परिवहन अधिकारी ने जांच के बाद कार्रवाई की बात कही है। दरअसल,दस साल का सौरभ कुमार जो सोनैल गांव का रहने वाला है। वह फर्राटे के साथ ट्रैक्टर आगे-पीछे करते और तेज गति से चला रहा है। डेढ़ साल से चला रहा ट्रैक्टर सौरव ने बताया कि वह पिछले डेढ़ साल से ट्रैक्टर चला रहा है। ट्रैक्टर चलाना उसे गांव के ही एक युवक ने सिखाया है। वह पिछले डेढ़ साल से ट्रैक्टर चला रहा है।सौरभ नदी से जाकर ट्रैक्टर में बालू भरकर उसे अलग अलग गांवों में पहुंचता भी है। सौरभ ने बताया कि पढ़ने के लिए कभी कभी सरकारी स्कूल भी जाते है। सौरव अपने गांव में कम उम्र में ट्रैक्टर चलाने को लेकर फेमस है। बताते दे कि नाबालिगों के लिए गाड़ी चलाने को लेकर सख्त कानून हैं। मोटर वाहन अधिनियम के अनुसार, 18 साल से कम उम्र के व्यक्ति को गाड़ी चलाने की अनुमति नहीं है। अगर कोई नाबालिग गाड़ी चलाते हुए पकड़ा जाता है, तो उसके माता-पिता या अभिभावक के खिलाफ कानूनी कार्रवाई की जा सकती है। सौरभ का ट्रैक्टर चलाना न केवल कानून के विरुद्ध है बल्कि उसके और अन्य लोगों के लिए भी खतरनाक साबित हो सकता है। जांच के बाद होगी कार्रवाई जमुई जिला परिवहन पदाधिकारी मो. इरफान ने कहा कि उन्हें वीडियो की जानकारी मिली है। हम वीडियो की जांच करवा रहे हैं, अगर इसमें सत्यता पाई जायेगी तो मामले में एक्शन लिया जायेगा।",2024-08-02 16:23:16,https://images.bhaskarassets.com/thumb/1000x1000/web2images/521/2024/08/02/41ba8c58-f899-48f8-b304-165df4db715d_1722602021417.jpg,bhaskar_hindi,0.02834806744162719,0,1,11,1,2
11,Newsdata,https://www.prnewswire.com/apac/news-releases/lucky-lions-den-nft-presale-breaks-records-and-raises-500k-302227641.html,Lucky Lions Den NFT Presale Breaks Records and Raises $500K,"LONDON, Aug. 21, 2024 /PRNewswire/ -- The Lucky Lions Den (LLD) NFT project has achieved a monumental milestone, raising an impressive $500K during its recent presale. The event was marked by unprecedented demand, with the presale allocation selling out in record time, solidifying LLD's...",2024-08-21 15:23:00,https://mma.prnewswire.com/media/2486854/Lucky_Lions_Den.jpg?p=original,prnewswire_apac,1.577928235829148e-10,10,57,213,15,91
12,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/23/southern-railwya-suggest-pushing-departure-bengaluru-ernakulam-vande-bharat-by-one-hour.html,Southern Railway suggests pushing departure time of Bengaluru-Ernakulam Vande Bharat by an hour,"If approved, the train will start from the Bengaluru Cantonment station at 6.30 am instead of 5.30 am.",2024-08-23 08:21:48,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/7/29/vande-bharat.jpg.transform/576x300/image.jpg,onmanorama,2.0392006558515205e-41,8,9,75,3,45
13,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/27/rebuild-wayanad-ksrtc-budget-tourism-darshan-trip.html,Rebuild Wayanad: KSRTC budget tourism cell resumes Wayanad Darshan trips from Kannur,"The KSRTC tourism service included Pookkode Lake and Banasura Sagar Dam, apart from other destinations opened in Wayanad.",2024-08-27 05:04:12,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/5/28/ksrtc-bus.jpg.transform/576x300/image.jpg,onmanorama,1.4833977288981106e-15,10,18,173,11,70
14,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/28/ernakulam-bengaluru-vande-bharat-special-service.html,Ernakulam – Bengaluru Vande Bharat special service: Will it be resumed?,"If the service isn’t resumed, then the crises will worsen in this route during the upcoming Onam season.",2024-08-28 04:58:21,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/7/29/vande-bharat.jpg.transform/576x300/image.jpg,onmanorama,1.1781294907185647e-87,14,19,227,4,81
15,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/28/pm-modi-to-flag-off-madurai-bengaluru-vande-bharat-express-soon-.html,"PM Modi to flag off Madurai-Bengaluru Vande Bharat Express soon: Timings, fare and more",The train will depart from Madurai at 5.15 am and reach Bengaluru Cantonment by 1 pm.,2024-08-28 11:47:10,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2023/11/28/kottayam-station.jpg.transform/576x300/image.jpg,onmanorama,1.00946079210837e-20,0,7,63,4,20
16,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/28/kochi-airport-cial-kerala-chief-minister-pinarayi-vijayan.html,Kochi airport to have India's largest Aero Lounge: Know more about facilities,The lounge can be accessed by both passengers and visitors alike.,2024-08-28 11:22:14,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/8/28/aero-lounge.jpg.transform/576x300/image.jpg,onmanorama,1.6367933612453028e-06,5,27,110,10,37
17,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/29/aranmula-vallasadya-onam-season-ksrtc-budget-trip.html,Want to enjoy Aranmula vallasadya and a cruise for Onam season? Book KSRTC trips,"The KSRTC has also arranged special trips to some of the tourist destinations in Wayanad, to support the district as its tourism sector is struggling after the deadly landslides.",2024-08-29 05:07:32,https://img.onmanorama.com/content/dam/mm/en/kerala/top-news/images/2023/11/4/ksrtc-kreupasanam-special-buses11.jpg.transform/576x300/image.jpg,onmanorama,1.6455160745640223e-15,11,16,100,6,46
20,Newsdata,https://www.onmanorama.com/travel/travel-news/2024/08/30/vande-bharat-ernakulam-bengaluru-service-rake-onam-passengers-anger.html,Malayalis struggle for Onam tickets as Ernakulam - Bengaluru Vande Bharat 'rests' in Kochi,The train was quite popular before its service was terminated on August 26.,2024-08-30 05:16:15,https://img.onmanorama.com/content/dam/mm/en/travel/travel-news/images/2024/8/30/vande-bharat-express.jpg.transform/576x300/image.jpg,onmanorama,3.820933428493531e-16,23,27,125,6,64
