Title,Year,Release Date,Genres,Rating,Cast,Plot Overview,Runtime (mins),IMDb ID,Title_old,Year_old,Release Date_old,Genres_old,Rating_old,Cast_old,Plot Overview_old,Runtime (mins)_old
KPop Demon Hunters,2025,2025-06-20,"Animation, Fantasy, Comedy, Music, Family, Action",7.9,Not Available,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",96,tt14205554,KPop Demon Hunters,2025,2025-06-20,"Animation, Fantasy, Action, Comedy, Music",8.0,Not Available,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",96.0
Sinners,2025,2025-04-16,"Horror, Action, Thriller",7.8,Not Available,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",138,tt31193180,Sinners,2025,2025-04-16,"Horror, Thriller, Fantasy",7.9,Not Available,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",138.0
